Sales_organisation_cd,APPLE_ID,CUST_ID,Legal Name,price_grp_cd,AUTH_DESCRIPTION,Billing_Block_Cd,Order_Block_Cd,Delivery_Block_Cd,Posting_Block_Cd,Sales_Block_Cd,Marked_For_Delete_Ind,Acct_Status_Cd
1200,277259,617533,"""LANDOR ASSOCIATES DESIGNERS &""",P6,,,ZB,91,,,Y,INACTIVE
1200,277259,1223919,"""LANDOR ASSOCIATES DESIGNERS &""",,,,,91,,,N,ACTIVE
1200,278925,619481,"""LEI MUK SHUE CATHOLIC PRIMARY""",PD,,,,,,,N,ACTIVE
1200,278925,1223965,"""LEI MUK SHUE CATHOLIC PRIMARY""",,,,,,,,N,ACTIVE
1200,278926,619499,"""KING GEORGE V SCHOOL""",PD,,,,,,,N,ACTIVE
1200,278926,1223966,"""KING GEORGE V SCHOOL""",,,,,,,,N,ACTIVE
1200,278927,619507,"""THE INTERNATIONAL SCHOOL OF MACAO""",PD,,,,,,,N,ACTIVE
1200,278927,1223967,"""THE INTERNATIONAL SCHOOL OF MACAO""",,,,,,,,N,ACTIVE
1200,281019,620980,"""BARON'S SCHOOL OF MUSIC LIMITED""",P6,,,ZB,91,,,Y,INACTIVE
1200,281019,1223896,"""BARON'S SCHOOL OF MUSIC LIMITED""",,,,,91,,,N,ACTIVE
1200,282088,635112,"""NEW VISION@APM""",,"APPLE CPU, IPAD, IPHONE, IPOD",,ZB,,,,Y,INACTIVE
1200,282104,635433,"""BROADWAY@KWUN TONG 01""",,APPLE CPU + IPOD + IPHONE,,ZB,,,,Y,INACTIVE
1200,282109,635435,"""SHOP 16,BROADWAY - GRAND CENTURY""",,APPLE CPU + IPOD + IPHONE,,ZB,,,,Y,INACTIVE
1200,282661,622845,"""YUEN LONG LONG PING ESTATE""",PD,,,,,,,N,ACTIVE
1200,282661,1224287,"""YUEN LONG LONG PING ESTATE""",,,,,,,,N,ACTIVE
1200,282664,622105,"""HKSAR LABOR DEPARTMENT""",P6,,,ZB,91,,,Y,INACTIVE
1200,282664,1223920,"""HKSAR LABOR DEPARTMENT""",,,,,91,,,N,ACTIVE
1200,283202,623084,"""CREATIVE ICARE INTERNATIONAL LTD""",RC,APPLE CPU,,ZB,91,,,Y,INACTIVE
1200,283202,1224337,"""CREATIVE ICARE INTERNATIONAL LTD""",,APPLE CPU,,,91,,,N,ACTIVE
1200,284104,623768,"""GLENEALY JUNIOR SCHOOL""",PD,,,,,,,N,ACTIVE
1200,284104,1223921,"""GLENEALY JUNIOR SCHOOL""",,,,,,,,N,ACTIVE
1200,284239,623689,"""SIS INTERNATIONAL LTD""",PH,,,ZB,91,,,Y,INACTIVE
1200,284239,1223968,"""SIS INTERNATIONAL LTD""",,,,,91,,,N,ACTIVE
1200,286169,625503,"""HONG KONG DESIGN INSTITUTE OF""",P6,,,ZB,91,,,Y,INACTIVE
1200,286169,1224382,"""HONG KONG DESIGN INSTITUTE OF""",,,,,91,,,N,ACTIVE
1200,286597,635122,"""NEW VISION@PARK LANE""",,"APPLE CPU, IPAD, IPHONE, IPOD",,ZB,,,,Y,INACTIVE
1200,292766,634516,"""CYPHER MARTIN SYSTEMS LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, IPOD, WATCH",,ZB,,,,N,ACTIVE
1200,292766,1223897,"""CYPHER MARTIN SYSTEMS LIMITED""",,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, IPOD, WATCH",,,,,,N,ACTIVE
1200,292771,634551,"""ICT TECHNOLOGIES & SERVICES LIMITED""",PH,APPLE CPU,,ZB,91,,,Y,INACTIVE
1200,292771,1223969,"""ICT TECHNOLOGIES & SERVICES LIMITED""",,APPLE CPU,,,91,,,N,ACTIVE
1200,293209,634832,"""HASBRO FAR EAST LIMITED""",P6,,,ZB,91,,,Y,INACTIVE
1200,293209,1223970,"""HASBRO FAR EAST LIMITED""",,,,,91,,,N,ACTIVE
1200,293372,635107,"""SIS INTERNATIONAL LIMITED""",,,,ZB,,,,N,INACTIVE
1200,294537,635820,"""HUTCHISON TELEPHONE COMPANY LIMITED""",PP,"APPLETV, IPAD, IPHONE, WATCH",,,,,,N,ACTIVE
1200,294537,860373,"""HUTCHISON TELEPHONE COMPANY LIMITED""",PP,"APPLETV, IPAD, IPHONE, WATCH",,,,,,N,ACTIVE
1200,294537,1284417,"""HUTCHISON TELEPHONE COMPANY LIMITED""",P9,"APPLETV, IPAD, IPHONE, WATCH",,,,,,N,ACTIVE
1200,294539,635824,"""GREAT EASTERN MOBILE LOGISTICS LTD""",,"IPAD, IPHONE, WATCH, WATCH SPORT",,,,,,N,ACTIVE
1200,294546,635781,"""HUTCHISON TELEPHONE (MACAU) CO LTD""",PP,,,ZB,,,,N,ACTIVE
1200,294546,1223971,"""HUTCHISON TELEPHONE (MACAU) CO LTD""",,,,,,,,N,ACTIVE
1200,294549,635782,"""HUTCHISON TELEPHONE COMPANY LTD""",,"IPAD, IPHONE, WATCH, WATCH SPORT",,,,,,N,ACTIVE
1200,294553,635821,"""HUTCHISON TELEPHONE (MACAU) COMPANY""",,"IPAD, IPHONE, WATCH, WATCH SPORT",,,,,,N,ACTIVE
1200,298115,636664,"""ORIGINAL TECHNOLOGY LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, IPOD, WATCH, WATCH EDITION",,,,,,N,ACTIVE
1200,298115,1109659,"""ORIGINAL TECHNOLOGY LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, IPOD, WATCH, WATCH EDITION",,,,,,N,ACTIVE
1200,299635,640252,"""2S COMPUTER LIMITED""",RC,"APPLE CPU, IPAD, IPOD",,ZB,91,,,Y,INACTIVE
1200,299635,1224288,"""2S COMPUTER LIMITED""",,"APPLE CPU, IPAD, IPOD",,,91,,,N,ACTIVE
1200,299645,640245,"""VERTEX TECHNOLOGY COMPANY LIMITED""",RC,"BEATS PRODUCTS, IPOD",,ZB,91,,,Y,INACTIVE
1200,299645,1224485,"""VERTEX TECHNOLOGY COMPANY LIMITED""",,"BEATS PRODUCTS, IPOD",,,91,,,N,ACTIVE
1200,299803,640650,"""HUTCHISON HK-DEALERS""",PP,,,ZB,,,,N,ACTIVE
1200,299803,1224383,"""HUTCHISON HK-DEALERS""",,,,,,,,N,ACTIVE
1200,299804,640651,"""HUTCHISON MACAU-DEALERS""",PP,,,ZB,,,,N,ACTIVE
1200,299804,1224289,"""HUTCHISON MACAU-DEALERS""",,,,,,,,N,ACTIVE
1200,300031,640556,"""WISE COMPUTER TECHNOLOGY COMPANY""",PH,APPLE CPU,,ZB,91,,,Y,INACTIVE
1200,300031,1223898,"""WISE COMPUTER TECHNOLOGY COMPANY""",,APPLE CPU,,,91,,,N,ACTIVE
1200,300372,641057,"""LOYAL CHANNEL ENTERPRISE LIMITED""",,,,ZB,,,,N,INACTIVE
1200,300377,641060,"""GREAT EASTERN MOBILE""",,"IPAD, IPHONE, WATCH, WATCH SPORT",,,,,,N,ACTIVE
1200,302524,641819,"""COMPANHIA DE TELECOMUNICACOES""",PT,"APPLE CPU, APPLETV, IPAD, IPHONE, IPOD",,ZB,91,,,Y,INACTIVE
1200,302524,1224290,"""COMPANHIA DE TELECOMUNICACOES""",,"APPLE CPU, APPLETV, IPAD, IPHONE, IPOD",,,91,,,N,ACTIVE
1200,302782,641587,"""JARDINE ONESOLUTION (HK) LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, IPOD, WATCH",,ZB,,,,Y,INACTIVE
1200,302782,859192,"""JARDINE ONESOLUTION (HK) LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, IPOD, WATCH",,ZB,,,,Y,INACTIVE
1200,302782,1027321,"""INNOVIX DISTRIBUTION LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, IPOD, WATCH",,,,,,N,ACTIVE
1200,302782,1031659,"""INNOVIX DISTRIBUTION LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, IPOD, WATCH",,,,,,N,ACTIVE
1200,304456,642138,"""LEI KEI TELECOM""",RC,IPOD,,ZB,91,,,Y,INACTIVE
1200,304456,1224434,"""LEI KEI TELECOM""",,IPOD,,,91,,,N,ACTIVE
1200,304785,642756,"""DISCOVERY COLLEGE""",PD,,,,,,,N,ACTIVE
1200,304785,1224456,"""DISCOVERY COLLEGE""",,,,,,,,N,ACTIVE
1200,305582,502877,"""PCCWHKT""",,APPLE CPU + IPOD,,ZB,,,,N,INACTIVE
1200,306283,651559,"""PCCW- HKT NETWORK SERVICES LTD""",,APPLE CPU + IPOD,,,,,,N,ACTIVE
1200,324010,648624,"""UNY (HK) CO., LTD.""",RC,IPOD,,ZB,91,,,Y,INACTIVE
1200,324010,1224291,"""UNY (HK) CO., LTD.""",,IPOD,,,91,,,N,ACTIVE
1200,324017,648608,"""CHEUNG MAO KEE ELECTRICAL""",PH,IPOD,,ZB,91,,,Y,INACTIVE
1200,324017,1224338,"""CHEUNG MAO KEE ELECTRICAL""",,IPOD,,,91,,,N,ACTIVE
1200,324018,648733,"""A3 HOLDINGS LIMITED""",RC,IPOD,,ZB,91,,,Y,INACTIVE
1200,324018,1224292,"""A3 HOLDINGS LIMITED""",,IPOD,,,91,,,N,ACTIVE
1200,330471,650050,"""TELECOM DIGITAL SERVICES LTD""",PH,,,ZB,91,,,Y,INACTIVE
1200,330471,1224384,"""TELECOM DIGITAL SERVICES LTD""",,,,,91,,,N,ACTIVE
1200,331112,650544,"""GOLDEN PLUS LIMITED""",RC,APPLE CPU,,ZB,91,,,Y,INACTIVE
1200,331112,1223922,"""GOLDEN PLUS LIMITED""",,APPLE CPU,,,91,,,N,ACTIVE
1200,331118,650545,"""KO IO(INTERNATIONAL)GROUP CO.,LTD""",RC,BEATS PRODUCTS,,ZB,,,,N,ACTIVE
1200,331118,1224435,"""KO IO(INTERNATIONAL)GROUP CO.,LTD""",,BEATS PRODUCTS,,,,,,N,ACTIVE
1200,331137,650558,"""TOPPAN FORMS COMPUTER SYSTEMS LTD""",RC,,,ZB,91,,,Y,INACTIVE
1200,331137,1223972,"""TOPPAN FORMS COMPUTER SYSTEMS LTD""",,,,,91,,,N,ACTIVE
1200,331940,651024,"""GOLDEN RICH AV TECHNOLOGY LTD""",RC,IPOD,,ZB,91,,,Y,INACTIVE
1200,331940,1224457,"""GOLDEN RICH AV TECHNOLOGY LTD""",,IPOD,,,91,,,N,ACTIVE
1200,331941,651025,"""SOGO HONG KONG COMPANY LIMITED""",RC,IPOD,,ZB,91,,,Y,INACTIVE
1200,331941,1223923,"""SOGO HONG KONG COMPANY LIMITED""",,IPOD,,,91,,,N,ACTIVE
1200,332092,651100,"""JOYCE HINTS LTD.""",RC,IPOD,,ZB,91,,,Y,INACTIVE
1200,332092,1223936,"""JOYCE HINTS LTD.""",,IPOD,,,91,,,N,ACTIVE
1200,332957,619402,"""RENAISSANCE COLLEGE""",PD,,,,,,,N,ACTIVE
1200,332957,1223895,"""RENAISSANCE COLLEGE""",,,,,,,,N,ACTIVE
1200,335452,652035,"""STANDARD CHARTERED BANK (HK)LIMITED""",DD,,,,,,,N,ACTIVE
1200,335452,1224385,"""STANDARD CHARTERED BANK (HK)LIMITED""",,,,,,,,N,ACTIVE
1200,335613,652153,"""SUCCESS FOR ALL FOUNDATION(HK) LTD.""",P6,,,ZB,91,,,Y,INACTIVE
